index,Neme,Age,PTelj,PBoldog,PMagany,MKA3,KKA7,age60
3,2,32,25,9,7,1,1,0
4,2,43,23,9,1,2,4,0
8,2,48,20,6,9,3,3,0
25,2,42,24,7,0,2,4,0
28,2,35,21,7,4,1,3,0
30,2,53,23,8,5,1,1,0
41,1,47,28,5,8,3,7,0
54,2,32,22,8,0,2,4,0
57,2,59,24,5,0,3,4,0
60,2,45,19,6,10,3,3,0
62,2,57,24,10,0,2,2,0
65,1,48,30,9,0,2,2,0
67,2,58,23,7,4,1,4,0
70,2,36,25,8,4,1,1,0
76,2,45,12,4,3,3,5,0
80,2,55,29,9,1,2,2,0
92,1,65,19,8,6,3,3,1
95,2,61,24,8,1,2,4,1
103,2,47,24,6,9,3,7,0
105,2,40,27,8,0,2,2,0
113,2,72,21,8,3,1,4,1
119,2,64,26,8,10,1,1,1
123,2,42,24,8,1,2,4,0
129,2,42,27,9,9,1,1,0
131,2,53,20,5,5,3,7,0
134,2,53,23,8,1,2,4,0
141,2,44,17,6,9,3,3,0
143,2,73,26,10,0,2,2,1
146,2,75,18,9,1,3,4,1
147,2,44,27,7,6,1,1,0
152,2,49,19,8,0,3,4,0
162,2,54,17,7,1,3,4,0
167,1,60,25,9,1,2,2,1
169,2,55,25,9,1,2,2,0
171,2,45,22,8,3,1,4,0
174,2,52,27,8,1,2,2,0
176,2,38,24,6,2,3,4,0
179,2,50,20,6,5,3,3,0
182,2,59,28,9,0,2,2,0
184,2,38,24,8,0,2,4,0
189,1,49,22,6,4,1,3,0
191,2,45,17,5,8,3,3,0
192,2,48,17,7,0,3,4,0
199,2,39,23,7,0,2,4,0
201,2,60,26,9,3,2,2,1
211,2,43,25,9,7,1,1,0
216,1,44,22,7,6,1,3,0
220,2,58,16,9,0,3,4,0
222,2,56,28,9,0,2,2,0
223,2,61,25,8,2,2,4,1
230,2,62,26,10,0,2,2,1
235,2,59,25,9,1,2,2,0
238,2,45,15,8,7,3,3,0
241,2,58,16,2,8,3,6,0
250,1,72,13,8,10,3,3,1
257,2,66,22,8,0,2,4,1
258,2,66,24,8,3,1,4,1
268,2,45,22,8,1,2,4,0
271,2,64,24,9,9,1,1,1
272,2,80,23,8,1,2,4,1
278,2,64,24,8,6,1,1,1
279,2,57,27,9,1,2,2,0
285,1,54,23,8,5,1,1,0
291,2,57,26,9,1,2,2,0
292,1,36,14,2,8,3,6,0
299,2,66,16,5,2,3,5,1
305,2,53,23,5,8,3,7,0
307,2,62,29,9,0,2,2,1
311,1,51,24,8,7,1,1,0
318,1,42,24,9,2,2,2,0
321,2,43,22,9,0,2,4,0
322,2,37,26,8,4,1,1,0
324,2,45,24,8,3,1,4,0
326,2,68,26,10,0,2,2,1
327,2,56,22,5,9,3,7,0
332,2,40,20,5,8,3,7,0
341,2,49,24,9,1,2,2,0
344,2,53,26,9,1,2,2,0
345,2,56,28,8,5,1,1,0
349,2,51,24,9,4,1,1,0
351,2,61,26,9,9,1,1,1
356,2,55,25,8,0,2,2,0
361,2,56,26,8,0,2,2,0
363,2,48,24,7,1,2,4,0
369,2,41,25,8,0,2,2,0
370,2,52,20,7,5,1,3,0
380,1,51,25,8,2,2,4,0
396,2,63,24,10,1,2,2,1
397,2,39,9,2,2,3,5,0
401,2,52,24,7,5,1,1,0
402,2,36,25,9,7,1,1,0
417,2,38,20,7,3,1,4,0
421,2,43,25,9,7,1,1,0
426,2,53,26,8,1,2,2,0
441,2,63,27,9,9,1,1,1
443,2,46,28,9,0,2,2,0
449,2,57,26,9,2,2,2,0
453,2,50,22,9,0,2,4,0
457,2,47,17,5,3,3,5,0
466,2,48,22,7,3,1,4,0
485,2,53,22,6,1,3,4,0
491,2,61,26,9,1,2,2,1
492,1,69,15,7,5,3,3,1
500,2,50,22,8,2,2,4,0
506,2,73,15,6,2,3,5,1
510,2,32,23,7,7,1,1,0
511,1,57,26,9,3,2,2,0
514,2,54,24,9,2,2,2,0
517,2,32,24,8,1,2,4,0
518,2,57,18,8,3,3,4,0
519,2,55,18,7,10,3,3,0
522,2,37,25,9,3,1,2,0
524,2,52,30,9,0,2,2,0
529,2,47,25,9,0,2,2,0
531,2,35,17,7,0,3,4,0
536,2,54,21,5,5,3,7,0
549,1,57,24,8,2,2,4,0
552,2,68,24,8,1,2,4,1
554,2,51,20,9,2,3,4,0
564,2,43,20,8,6,1,3,0
568,2,52,20,10,2,3,4,0
577,2,58,23,8,1,2,4,0
580,2,43,13,6,2,3,5,0
583,2,54,29,10,1,2,2,0
595,2,53,21,7,6,1,3,0
599,2,58,22,7,4,1,3,0
603,2,53,28,10,0,2,2,0
604,2,50,26,10,0,2,2,0
606,2,48,26,9,0,2,2,0
608,1,62,21,5,5,3,7,1
609,2,62,24,8,8,1,1,1
615,2,55,27,9,2,2,2,0
621,2,46,22,9,0,2,4,0
623,1,35,6,3,5,3,6,0
635,2,69,26,9,3,2,2,1
641,2,47,26,7,7,1,1,0
643,2,74,15,3,7,3,6,1
646,2,65,22,7,2,2,4,1
647,1,77,17,3,2,3,5,1
651,1,47,24,5,6,3,7,0
653,2,45,17,3,9,3,6,0
659,2,65,25,7,7,1,1,1
664,2,64,28,10,1,2,2,1
669,2,52,15,2,8,3,6,0
673,2,66,27,10,0,2,2,1
685,1,59,21,8,2,2,4,0
686,2,45,24,8,1,2,4,0
687,2,45,24,3,8,3,7,0
691,1,51,19,2,8,3,6,0
693,2,50,26,7,4,1,1,0
695,2,47,24,7,3,1,4,0
698,2,54,24,8,5,1,1,0
701,2,42,28,9,5,1,1,0
707,2,67,24,9,2,2,2,1
710,2,73,22,8,6,1,1,1
711,2,54,29,10,0,2,2,0
712,2,34,6,3,9,3,6,0
715,2,57,28,9,2,2,2,0
716,2,62,27,8,8,1,1,1
718,2,31,14,2,8,3,6,0
719,2,55,22,8,5,1,1,0
721,2,66,21,5,5,3,7,1
724,2,50,27,8,0,2,2,0
727,2,65,24,7,3,1,4,1
728,2,65,28,10,0,2,2,1
729,2,56,27,9,0,2,2,0
738,2,42,28,9,0,2,2,0
740,2,51,26,8,1,2,2,0
742,2,74,22,10,0,2,4,1
760,1,51,23,10,0,2,2,0
763,2,61,24,8,1,2,4,1
765,1,48,11,4,9,3,6,0
767,2,64,29,10,0,2,2,1
774,2,72,28,10,1,2,2,1
780,2,58,14,7,0,3,5,0
781,2,54,19,3,8,3,7,0
786,2,30,25,7,2,2,4,0
787,2,54,30,10,0,2,2,0
793,2,55,24,9,0,2,2,0
796,2,65,24,9,2,2,2,1
798,1,38,27,7,5,1,1,0
799,2,51,26,9,1,2,2,0
806,2,58,27,10,0,2,2,0
807,2,62,22,8,1,2,4,1
808,2,51,26,1,4,3,7,0
809,1,58,19,5,3,3,5,0
813,2,46,19,5,2,3,5,0
815,1,66,24,7,1,2,4,1
816,2,64,25,7,1,2,4,1
818,2,61,19,7,5,3,3,1
825,1,45,25,8,8,1,1,0
829,2,33,22,0,10,3,6,0
830,1,51,24,10,1,2,2,0
833,2,52,29,10,0,2,2,0
835,2,75,25,8,5,1,1,1
836,2,44,24,7,0,2,4,0
840,2,62,21,7,3,1,4,1
855,2,51,21,9,4,3,4,0
856,1,59,26,9,1,2,2,0
873,2,61,24,8,1,2,4,1
874,2,44,21,2,1,3,5,0
875,2,47,23,7,2,2,4,0
876,1,75,27,9,2,2,2,1
884,2,61,25,9,0,2,2,1
885,2,58,25,10,0,2,2,0
890,2,65,23,8,0,2,4,1
892,2,62,22,7,2,2,4,1
894,2,38,22,7,7,1,3,0
895,1,37,22,7,5,1,3,0
896,2,54,19,8,5,3,3,0
898,2,54,19,8,5,3,3,0
899,2,59,25,8,0,2,2,0
903,2,53,19,9,1,3,4,0
906,2,33,25,9,1,2,2,0
907,2,62,26,8,2,2,2,1
909,1,60,30,10,0,2,2,1
910,1,51,27,10,7,1,1,0
919,2,58,21,8,0,2,4,0
922,2,50,22,9,2,2,4,0
923,2,50,26,9,8,1,1,0
924,2,46,24,8,1,2,4,0
926,2,61,19,5,4,3,5,1
962,2,52,24,7,0,2,4,0
963,2,49,25,10,2,2,2,0
967,1,59,25,10,0,2,2,0
973,2,47,11,2,10,3,6,0
974,2,50,12,6,3,3,5,0
978,2,58,25,8,7,1,1,0
985,2,62,24,9,1,2,2,1
986,2,48,24,7,1,2,4,0
989,2,71,24,6,0,3,4,1
995,2,57,25,7,5,1,1,0
1005,1,63,27,9,0,2,2,1
1006,2,36,25,8,1,2,2,0
1011,2,40,19,9,0,3,4,0
1014,1,67,25,10,2,2,2,1
1015,1,72,27,10,0,2,2,1
1018,2,67,20,8,5,1,3,1
1020,1,72,20,9,0,2,4,1
1022,2,70,23,7,6,1,1,1
1025,2,51,26,9,0,2,2,0
1029,1,42,27,8,0,2,2,0
1030,2,55,19,7,6,3,3,0
1041,1,66,26,9,0,2,2,1
1044,1,46,24,8,0,2,4,0
1045,2,53,26,9,1,2,2,0
1048,1,57,26,8,0,2,2,0
1050,2,51,17,2,9,3,6,0
1057,2,58,26,8,8,1,1,0
1067,2,58,22,5,5,3,7,0
1073,1,72,29,9,0,2,2,1
1075,2,38,24,7,4,1,1,0
1081,1,43,22,8,0,2,4,0
1085,2,61,23,8,7,1,1,1
1086,1,58,21,7,6,1,3,0
1089,2,69,28,10,0,2,2,1
1096,2,41,27,7,4,1,1,0
1105,2,70,13,0,10,3,6,1
1111,1,20,26,8,5,1,1,0
1112,1,42,23,5,6,3,7,0
1113,1,40,29,7,0,2,2,0
1114,2,47,21,8,6,1,3,0
1121,1,44,27,4,2,3,7,0
1122,1,59,26,9,1,2,2,0
1125,1,44,23,8,2,2,4,0
1126,1,50,24,8,8,1,1,0
1127,1,52,21,7,4,1,3,0
1129,1,36,15,5,5,3,5,0
1130,2,57,23,7,4,1,4,0
1131,1,47,20,6,4,3,3,0
1133,1,36,15,5,5,3,5,0
1135,1,55,24,9,0,2,2,0
1138,1,58,21,7,5,1,3,0
1139,1,62,27,9,0,2,2,1
1140,1,49,25,9,1,2,2,0
1141,1,55,24,9,9,1,1,0
1142,1,45,25,7,8,1,1,0
1145,1,55,26,9,0,2,2,0
1147,1,48,26,8,9,1,1,0
1149,1,18,11,4,2,3,5,0
1150,1,28,18,2,8,3,6,0
1151,2,34,23,8,1,2,4,0
1153,1,56,27,10,0,2,2,0
1158,1,41,21,10,3,3,4,0
1159,2,53,25,8,4,1,1,0
1161,1,65,28,7,4,3,1,1
1164,1,46,17,3,9,3,6,0
1165,1,37,24,3,8,3,7,0
1169,1,45,23,9,0,2,4,0
1172,1,37,16,0,10,3,6,0
1173,1,64,8,2,2,3,5,1
1174,1,45,22,8,0,2,4,0
1177,1,47,19,6,1,3,4,0
1178,1,46,29,10,1,2,2,0
1184,1,51,19,3,1,3,5,0
1186,1,42,24,8,1,2,4,0
1188,1,60,16,6,4,3,5,1
1189,1,41,21,7,2,2,4,0
1191,1,52,30,9,0,2,2,0
1195,1,48,23,9,2,2,4,0
1196,1,50,26,9,0,2,2,0
1200,1,36,21,4,6,3,7,0
1203,1,32,15,3,10,3,6,0
1204,1,49,23,9,0,2,4,0
1205,1,30,28,7,5,1,1,0
1206,2,42,13,6,0,3,5,0
1209,1,73,17,10,1,3,4,1
1215,1,73,23,9,2,2,4,1
1217,1,31,23,7,3,1,4,0
1218,1,71,29,9,1,2,2,1
1219,1,46,20,5,7,3,7,0
1224,1,57,26,9,1,2,2,0
1226,1,27,21,7,5,1,3,0
1228,1,67,25,9,0,2,2,1
1229,1,57,23,8,2,2,4,0
1233,1,53,27,9,0,2,2,0
1234,1,78,22,8,2,2,4,1
1236,1,68,27,10,0,2,2,1
1240,1,63,28,8,7,1,1,1
1243,1,61,22,8,0,2,4,1
1246,2,61,21,6,6,3,3,1
1248,1,32,18,8,8,3,3,0
1251,1,31,12,7,6,3,3,0
1253,1,60,24,5,0,3,4,1
1256,1,42,23,7,1,2,4,0
1257,1,63,22,6,4,1,3,1
1258,1,54,27,9,0,2,2,0
1260,1,65,23,6,7,3,7,1
1261,1,45,15,3,5,3,5,0
1262,1,71,27,10,0,2,2,1
1263,1,60,22,6,2,3,4,1
1264,1,55,24,8,1,2,4,0
1270,1,57,28,9,3,3,2,0
1271,1,73,18,9,0,3,4,1
1272,1,30,22,9,7,1,1,0
1273,1,46,18,7,4,3,3,0
1278,1,65,26,9,3,2,2,1
1279,2,50,28,10,0,2,2,0
1283,1,60,23,8,1,2,4,1
1284,1,66,17,9,0,3,4,1
1287,1,42,24,7,5,1,1,0
1289,1,67,19,7,0,3,4,1
1291,1,59,13,2,8,3,6,0
1295,1,34,27,9,7,1,1,0
1296,1,31,22,6,9,3,7,0
1301,1,53,26,10,0,2,2,0
1303,2,53,22,7,6,1,3,0
1305,2,45,28,10,0,2,2,0
1308,1,48,21,2,5,3,7,0
1310,1,50,28,9,3,3,2,0
1312,1,64,16,5,7,3,3,1
1313,2,33,25,8,4,1,1,0
1314,1,58,25,9,0,2,2,0
1315,1,18,23,8,3,1,4,0
1319,2,39,11,3,8,3,6,0
1320,1,68,22,8,2,2,4,1
1324,2,50,23,7,7,1,1,0
1325,1,57,18,7,8,3,3,0
1326,1,54,23,7,8,1,1,0
1329,1,50,17,2,7,3,6,0
1331,1,54,23,9,0,2,4,0
1332,1,40,16,8,3,3,3,0
1333,1,64,24,8,0,2,4,1
1338,1,72,20,10,1,3,4,1
1341,1,33,24,8,2,2,4,0
1343,2,53,23,6,3,1,4,0
1345,1,38,27,8,9,1,1,0
1349,1,37,23,7,7,1,1,0
1350,1,37,23,8,2,2,4,0
1351,1,43,26,2,8,3,7,0
1356,1,62,25,8,1,2,2,1
1357,1,33,24,9,7,1,1,0
1359,1,86,23,8,0,2,4,1
1360,1,66,27,9,2,2,2,1
1361,2,63,16,5,0,3,5,1
1364,1,40,27,10,0,2,2,0
1365,2,63,26,8,1,2,2,1
1369,1,67,20,6,8,3,3,1
1371,1,28,22,5,0,3,4,0
1374,2,42,20,6,5,3,3,0
1378,1,51,19,7,4,3,3,0
1384,2,56,21,4,8,3,7,0
1388,1,55,24,8,0,2,4,0
1393,1,48,27,9,5,1,1,0
1396,1,39,24,5,8,3,7,0
1397,1,54,15,9,0,3,4,0
1403,2,51,15,5,6,3,5,0
1410,1,68,15,5,6,3,5,1
1415,2,42,24,8,2,2,4,0
1416,1,49,27,8,5,1,1,0
1417,2,60,23,10,0,2,2,1
1420,1,50,26,8,0,2,2,0
1422,1,45,26,9,1,2,2,0
1426,1,62,25,8,4,1,1,1
1427,1,67,17,6,1,3,5,1
1429,2,39,25,9,1,2,2,0
1432,1,47,27,8,5,1,1,0
1433,1,73,24,9,1,2,2,1
1435,1,39,27,10,0,2,2,0
1437,1,52,22,9,1,2,4,0
1442,1,58,20,8,9,1,3,0
1443,1,43,24,8,1,2,4,0
1447,1,55,22,7,2,2,4,0
1451,1,69,21,4,8,3,7,1
1453,1,72,13,2,5,3,6,1
1455,1,48,28,8,1,2,2,0
1467,1,51,27,8,2,2,2,0
1470,2,49,23,8,2,2,4,0
1474,1,70,24,7,2,2,4,1
1476,1,52,23,8,2,2,4,0
1478,1,55,16,6,9,3,3,0
1480,2,47,18,3,9,3,6,0
1484,1,49,24,9,0,2,2,0
1485,1,78,11,3,2,3,5,1
1486,1,37,25,5,0,3,4,0
1487,1,43,24,5,5,3,7,0
1490,1,31,22,8,3,1,4,0
1494,1,65,23,8,0,2,4,1
1495,1,44,26,8,8,1,1,0
1498,1,48,25,10,0,2,2,0
1501,1,51,27,8,2,2,2,0
1506,1,36,22,7,6,1,3,0
1507,1,71,11,4,2,3,5,1
1510,1,56,26,9,1,2,2,0
1511,1,52,27,10,0,2,2,0
1514,1,63,26,10,0,2,2,1
1515,1,26,22,8,4,1,4,0
1516,1,28,20,7,2,3,4,0
1518,1,50,26,9,1,2,2,0
1521,2,42,22,8,0,2,4,0
1523,2,70,28,9,0,2,2,1
1524,2,47,24,10,0,2,2,0
1530,1,65,27,9,8,1,1,1
1533,1,60,20,7,3,1,4,1
1538,1,60,24,8,1,2,4,1
1541,1,36,24,7,5,1,1,0
1547,2,47,18,8,7,3,3,0
1550,1,48,26,10,0,2,2,0
1551,2,49,25,10,0,2,2,0
1554,1,47,26,8,8,1,1,0
1556,1,63,25,8,7,1,1,1
1561,1,39,25,6,5,3,1,0
1563,1,63,0,0,10,3,6,1
1564,1,50,24,8,0,2,4,0
1565,1,36,21,9,2,2,4,0
1568,1,39,27,9,1,2,2,0
1571,1,63,19,3,7,3,7,1
1574,1,72,23,9,0,2,4,1
1576,1,36,19,5,3,3,5,0
1577,1,57,25,8,2,2,4,0
1581,1,68,26,9,0,2,2,1
1582,1,41,27,9,2,2,2,0
1583,1,22,17,7,3,3,3,0
1585,1,49,26,8,0,2,2,0
1586,1,31,28,10,1,2,2,0
1588,1,60,19,7,3,3,3,1
1594,1,43,28,10,0,2,2,0
1598,1,72,17,7,1,3,4,1
1603,1,58,25,9,0,2,2,0
1607,2,68,23,7,8,1,1,1
1611,1,70,22,9,0,2,4,1
1612,1,52,14,2,2,3,5,0
1620,1,34,18,5,1,3,5,0
1622,1,55,27,9,2,2,2,0
1626,1,50,17,6,6,3,3,0
1627,1,62,26,9,9,1,1,1
1628,1,74,25,6,1,3,4,1
1629,1,45,23,8,1,2,4,0
1631,1,58,23,6,8,3,7,0
1633,1,66,27,10,1,2,2,1
1635,1,71,24,5,7,3,7,1
1638,1,69,21,8,2,2,4,1
1646,1,49,14,5,6,3,5,0
1654,1,39,16,0,10,3,6,0
1655,2,55,21,6,6,3,3,0
1657,2,61,20,5,5,3,7,1
1659,1,67,19,3,5,3,7,1
1665,1,47,25,7,7,1,1,0
1668,1,30,26,9,5,1,1,0
1671,2,53,25,9,7,1,1,0
1682,1,50,27,7,1,2,2,0
1685,1,55,25,10,1,2,2,0
1687,1,72,19,8,1,3,4,1
1688,1,61,18,8,2,3,4,1
1690,1,47,27,8,0,2,2,0
1691,1,46,19,8,0,3,4,0
1695,2,59,24,8,0,2,4,0
1696,1,46,27,9,0,2,2,0
1710,1,47,26,8,0,2,2,0
1713,1,56,27,10,0,2,2,0
1720,1,68,26,8,2,2,2,1
1723,2,62,25,9,2,2,2,1
1724,1,34,16,4,3,3,5,0
1726,1,66,20,7,1,2,4,1
1728,2,41,25,7,6,1,1,0
1732,1,59,26,8,1,2,2,0
1737,2,50,26,8,8,1,1,0
1738,1,45,28,9,0,2,2,0
1739,2,61,24,8,7,1,1,1
1740,1,75,21,3,7,3,7,1
